Make,Model,Total.Incidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries
AERO COMMANDER,100,{'Substantial': 1},0.0,1.0,1.0
AERO COMMANDER,500,{'Minor': 1},0.0,0.0,0.0
AERO COMMANDER,685,{'Substantial': 1},0.0,0.0,3.0
AERO VODOCHODY,L-39,{'Substantial': 1},2.0,0.0,0.0
AEROSPATIALE,AS 355F1,{'Substantial': 1},1.0,0.0,0.0
AEROSPATIALE,AS355,{'Substantial': 1},0.0,0.0,0.0
AEROSPATIALE,SA341,{'Substantial': 1},0.0,0.0,0.0
AEROSTAR INTERNATIONAL,RX8,{'Minor': 1},0.0,0.0,1.0
AGUSTA,A109,{'Destroyed': 1},3.0,0.0,0.0
AGUSTA,AW-139,{'Minor': 1},0.0,0.0,0.0
AGUSTA BELL,AB206B,{'Substantial': 1},2.0,0.0,1.0
AIR TRACTOR,AT502,{'Substantial': 1},0.0,1.0,0.0
AIR TRACTOR,AT802,{'Substantial': 1},0.0,0.0,0.0
AIR TRACTOR INC,AT-302,{'Substantial': 1},0.0,0.0,0.0
AIRBUS HELICOPTERS,AS 350B3,{'Substantial': 1},0.0,0.0,4.0
AIRBUS HELICOPTERS,EC 130 T2,{'Substantial': 1},0.0,1.0,0.0
AMERICAN BLIMP,A60PLUS,{'Substantial': 1},1.0,0.0,0.0
AMERICAN EUROCOPTER,AS350,{'Destroyed': 1},2.0,0.0,0.0
AVIAT AIRCRAFT INC,A 1B,{'Substantial': 1},0.0,0.0,0.0
Aaa Aircraft Leasing,192,{'Destroyed': 1},2.0,0.0,0.0
Abc,ABC 60 PLUS,{'Substantial': 1},0.0,0.0,0.0
Adams,A60S,{'Substantial': 1},0.0,1.0,0.0
Advanced Technology,PREDATOR 480,{'Destroyed': 1},0.0,0.0,1.0
Aero Commander,100,{'Substantial': 2},0.0,0.0,0.5
Aero Commander,100-180,{'Destroyed': 1},3.0,0.0,0.0
Aero Commander,112,{'Destroyed': 1},1.0,0.0,0.0
Aero Commander,500,{'Substantial': 2},0.0,0.0,0.0
Aero Commander,500-B,{'Destroyed': 1},3.0,0.0,0.0
Aero Commander,500-S,{'Substantial': 1},0.0,0.0,0.0
Aero Commander,520,{'Destroyed': 1},3.0,0.0,0.0
Aero Commander,560,{'Substantial': 1},0.0,0.0,1.0
Aero Commander,560-F,{'Destroyed': 1},4.0,0.0,0.0
Aero Commander,680,{'Substantial': 2},0.5,0.5,0.0
Aero Commander,680-FP,{'Destroyed': 1},1.0,0.0,0.0
Aero Commander,680FL,{'Destroyed': 1},2.0,0.0,0.0
Aero Commander,680FL P,{'Destroyed': 1},2.0,0.0,0.0
Aero Commander,680V,{'Substantial': 1},0.0,0.0,0.0
Aero Commander,681,{'Substantial': 1},0.0,0.0,0.0
Aero Commander,685,{'Substantial': 2},0.0,0.0,0.5
Aero Commander,690,"{'Substantial': 1, 'Destroyed': 1}",0.5,0.0,0.0
Aero Commander,690A,"{'Substantial': 3, 'Destroyed': 1}",0.25,0.5,0.0
Aero Commander,695,{'Substantial': 1},0.0,0.0,0.0
Aero Commander,AC-685,{'Destroyed': 1},5.0,0.0,0.0
Aeronca,11AC,{'Substantial': 1},0.0,1.0,1.0
Aeronca,7AC,{'Substantial': 3},0.0,0.0,0.0
Aeronca,7AC CHAMP,{'Substantial': 1},0.0,0.0,0.0
Aeronca,7CCM,{'Substantial': 1},0.0,1.0,1.0
Aeronca,7DC,{'Substantial': 1},1.0,1.0,0.0
Aeronca,SEDAN AR-15,{'Substantial': 1},0.0,0.0,0.0
Aerospace Tech. Of Australia,N22B,{'Substantial': 1},0.0,0.0,0.0
Aerospatiale,341G,{'Substantial': 1},0.0,0.0,0.0
Aerospatiale,ALOUETTE 3,{'Destroyed': 1},6.0,0.0,0.0
Aerospatiale,AS-350-D,{'Destroyed': 1},2.0,0.0,0.0
Aerospatiale,AS-355E,{'Destroyed': 1},0.0,0.0,0.0
Aerospatiale,AS350B,{'Substantial': 1},0.0,0.0,2.0
Aerospatiale,AS350B3,{'Substantial': 1},0.0,0.0,0.0
Aerospatiale,S350D,{'Substantial': 1},2.0,0.0,0.0
Aerospatiale,SA-315B,{'Substantial': 2},0.0,0.0,2.0
Aerospatiale,SA-316B,{'Substantial': 1},0.0,0.0,0.0
Aerospatiale,SA-341G,{'Substantial': 1},0.0,0.0,1.0
Aerospatiale,SA315B,{'Substantial': 2},0.0,0.0,1.5
Aerospatiale,SA341G,{'Substantial': 1},0.0,0.0,3.0
Aerospatiale,SA365N,{'Destroyed': 1},2.0,1.0,0.0
Aerospatiale,TB-20,{'Destroyed': 1},3.0,0.0,0.0
Aerospatiale,TB-21,{'Destroyed': 1},2.0,1.0,0.0
Aerospatiale/socata,TB-10,{'Destroyed': 1},4.0,0.0,0.0
Aerostar,PA-60-700P,{'Substantial': 1},0.0,0.0,0.0
Aerostar,S-81-A,{'Substantial': 1},0.0,2.0,6.0
Aerostar,S-81A,{'Minor': 1},0.0,1.0,0.0
Aerostar,SP-1,{'Destroyed': 1},0.0,0.0,0.0
Aerotek,PITTS - S2S,{'Destroyed': 1},1.0,0.0,0.0
Aerotek,S-2A,{'Substantial': 1},0.0,0.0,0.0
Agusta,A119,{'Destroyed': 1},0.0,0.0,3.0
Air & Space,18A,{'Substantial': 1},0.0,0.0,1.0
Air Tractor,502B,{'Destroyed': 1},1.0,0.0,0.0
Air Tractor,AT-301,{'Substantial': 1},0.0,1.0,0.0
Air Tractor,AT-402A,{'Substantial': 1},0.0,0.0,1.0
"Airnew, Inc.",QUESTAIR,{'Substantial': 1},0.0,0.0,1.0
Airship Industries,AIRSHIP 600,{'Substantial': 1},0.0,0.0,0.0
American,AA-1B,{'Substantial': 1},0.0,0.0,0.0
American,AA1,{'Substantial': 1},0.0,0.0,0.0
American Aviation Corp. (aac),AA-1A,{'Destroyed': 1},1.0,0.0,0.0
American Blimp Corp.,A-1-50,{'Substantial': 1},0.0,0.0,0.0
American Champion (acac),8GCBC,{'Substantial': 3},0.0,0.0,0.0
American General Aircraft,AG5B,{'Substantial': 1},0.0,2.0,0.0
"Anderson, Greenwood",51,{'Substantial': 1},0.0,0.0,0.0
Artic Aircraft Corp.,INTERSTATE S1B1,{'Substantial': 1},0.0,0.0,0.0
Artic Aircraft Corp.,S-1B2,{'Destroyed': 1},2.0,0.0,0.0
Avian,MAGNUM IX,{'Substantial': 1},0.0,0.0,8.0
Aviat,A-1,{'Substantial': 2},0.0,0.0,0.0
Aviat,A-1A,{'Substantial': 1},0.0,0.0,0.0
Avions Marcel Dassault,MISTERT FALCON 900,{'Minor': 1},0.0,0.0,0.0
B??lkow,BO-105C,{'Substantial': 1},0.0,0.0,0.0
BALONY KUBICEK SPOL SRO,BB70Z,{'Substantial': 1},0.0,0.0,0.0
BEECH,1900,{'Substantial': 1},0.0,0.0,0.0
BEECH,200,{'Substantial': 1},0.0,0.0,0.0
BEECH,35B33,{'Substantial': 1},0.0,1.0,0.0
BEECH,58,{'Substantial': 3},0.0,0.0,0.0
BEECH,58TC,{'Destroyed': 1},1.0,0.0,0.0
BEECH,95 B55,{'Substantial': 1},0.0,0.0,0.0
BEECH,95-B55,{'Substantial': 1},2.0,0.0,0.0
BEECH,95-B55 (T4,{'Destroyed': 1},3.0,0.0,0.0
BEECH,95-B55 (T42A),{'Substantial': 2},0.0,1.0,0.0
BEECH,95-C55,{'Substantial': 1},0.0,0.0,4.0
BEECH,A36,"{'Substantial': 4, 'Destroyed': 4}",1.375,0.0,0.125
BEECH,A36TC,{'Substantial': 2},1.0,1.0,0.0
BEECH,A60,{'Substantial': 1},0.0,0.0,0.0
BEECH,B-60,{'Substantial': 1},0.0,2.0,0.0
BEECH,B-99,{'Substantial': 1},0.0,0.0,0.0
BEECH,B100,"{'Substantial': 2, 'Destroyed': 1, 'Minor': 1}",0.5,0.0,0.0
BEECH,B200,{'Substantial': 1},0.0,0.0,0.0
BEECH,C-99,{'Substantial': 1},0.0,0.0,0.0
BEECH,C90,{'Substantial': 2},0.5,0.0,0.0
BEECH,C90 - A,{'Substantial': 1},0.0,2.0,1.0
BEECH,D17S,{'Substantial': 1},1.0,0.0,0.0
BEECH,E-90,{'Destroyed': 1},2.0,0.0,0.0
BEECH,E35,{'Substantial': 2},0.5,0.0,0.5
BEECH,F33A,{'Substantial': 1},0.0,0.0,0.0
BEECH,F90,{'Destroyed': 1},3.0,0.0,0.0
BEECH,H35,{'Substantial': 1},0.0,0.0,1.0
BEECH,J35,{'Substantial': 1},0.0,0.0,0.0
BEECH,U-8F,{'Substantial': 1},0.0,1.0,0.0
BEECH,V35,{'Substantial': 1},2.0,0.0,0.0
BEECH,V35B,{'Substantial': 1},0.0,0.0,0.0
BEECHCRAFT,390,{'Substantial': 1},0.0,0.0,0.0
BELL,206,"{'Substantial': 2, 'Destroyed': 2, 'Minor': 1}",2.0,0.4,0.2
BELL,206 L4,{'Substantial': 1},0.0,0.0,0.0
BELL,206B,{'Substantial': 2},0.0,0.0,0.5
BELL,206L 3,{'Destroyed': 1},1.0,0.0,0.0
BELL,206L-3,{'Substantial': 2},0.0,0.0,0.0
BELL,212,{'Destroyed': 1},2.0,0.0,0.0
BELL,407,{'Substantial': 2},0.0,0.5,0.0
BELL,412,{'Substantial': 1},0.0,5.0,1.0
BELL,412EP,{'Destroyed': 1},3.0,0.0,0.0
BELL,430,{'Substantial': 1},0.0,0.0,0.0
BELL,47D1,{'Substantial': 1},0.0,2.0,0.0
BELL,AH-1F,{'Substantial': 1},0.0,2.0,0.0
BELL HELICOPTER,206,{'Substantial': 1},1.0,3.0,0.0
BELL HELICOPTER TEXTRON CANADA,206B,{'Substantial': 1},1.0,0.0,0.0
BELL HELICOPTER TEXTRON CANADA,407,{'Substantial': 1},1.0,0.0,0.0
BELLANCA,7GCBC,{'Substantial': 2},1.0,0.0,0.0
BELLANCA,7KCAB,{'Substantial': 1},0.0,0.0,0.0
BOEING,737,{'Minor': 1},0.0,0.0,0.0
BOEING,A75N1,{'Substantial': 2},0.0,2.0,0.0
BOMBARDIER,BD100 1A10,{'Minor': 1},0.0,0.0,0.0
BOMBARDIER INC,BD-100-1A10,{'Minor': 1},0.0,0.0,0.0
BOMBARDIER INC,CL-600-2B16,{'Substantial': 1},0.0,0.0,0.0
BOYD BRUCE,RV4,{'Substantial': 1},0.0,0.0,0.0
BRISTELL,E-LSA,{'Substantial': 1},0.0,0.0,1.0
BRITTEN-NORMAN,BN-2A,{'Substantial': 1},4.0,0.0,1.0
BURTON,CALIDUS,{'Substantial': 1},0.0,1.0,1.0
Bacon,QUESTAIR-VENTURE,{'Destroyed': 1},2.0,0.0,0.0
Balloon Works,AX-8B,{'Substantial': 1},0.0,1.0,2.0
Balloon Works,AX9,{'Substantial': 1},0.0,0.0,5.0
Balloon Works,BARNES FF-8-24,{'Minor': 1},0.0,1.0,0.0
Balloon Works,FIRE FLY 7,{'Substantial': 1},0.0,1.0,2.0
Balloon Works,FIREFLY 7,"{'Destroyed': 1, 'Substantial': 1}",0.0,1.5,0.0
Balloon Works,FIREFLY 7B,{'Destroyed': 1},1.0,1.0,1.0
Balloon Works,FIREFLY 8-24,{'Substantial': 1},0.0,1.0,3.0
"Beasley, Gerald L.",VARIEZE,{'Destroyed': 1},0.0,1.0,0.0
Bede Aircraft,BD-10,{'Substantial': 1},0.0,0.0,0.0
Beech,100,"{'Substantial': 1, 'Destroyed': 1}",0.0,1.0,0.0
Beech,200,"{'Substantial': 6, 'Destroyed': 5, 'Minor': 1}",2.0833333333333335,0.08333333333333333,0.08333333333333333
Beech,2000 (STARSHIP),{'Substantial': 1},0.0,0.0,0.0
Beech,23,{'Destroyed': 1},3.0,0.0,0.0
Beech,23-C23,{'Substantial': 1},0.0,0.0,0.0
Beech,35,"{'Substantial': 4, 'Destroyed': 3}",0.2857142857142857,0.42857142857142855,0.0
